# CERBERUS audio identification database
#
# Matched by composite key: OPL type + SB DSP version (+ optional T token).
# Lookup signature: "<opl>:<dsp_hex>[:T<n>]" where <opl> is "opl2"/"opl3"/"none",
# <dsp_hex> is the DSP version byte as two hex chars (major-minor, e.g. "040D"
# for DSP 4.13) or "none", and T<n> is the optional BLASTER T value if parseable
# (T6=SB16, T8=AWE32). Detect probes try the longer (T-augmented) key first
# and fall back to the shorter key on miss.
#
# Columns:
#   match_key       Composite signature for matching (see above)
#   friendly        Human-readable name
#   vendor          Manufacturer
#   notes           Brief note on era, CT-number, or quirks
#   mixer_chip      Expected mixer chip ID ("CT1745", "CT1345", "none", or
#                   "unknown"). Consumed by consist rule 7 (audio_mixer_chip):
#                   an "unknown" value on a card the probe classifies as
#                   non-none WARNs (DB gap), a specific chip that doesn't
#                   match the probe FAILs. Most rows are seeded "unknown"
#                   pending real-hardware verification. Known values today
#                   are limited to Vibra 16S / SB16 CT2230+ (CT1745).
#
match_key,friendly,vendor,notes,mixer_chip
pc-speaker-only,PC Speaker only,IBM-compatible,Always present on IBM PC-class hardware,unknown
opl2:none,AdLib (OPL2),AdLib,Original 1987 card — Yamaha YM3812,unknown
opl2:0100,Sound Blaster 1.0 (CT1320),Creative Technology,DSP v1.x — 8-bit mono 22kHz max,unknown
opl2:0200,Sound Blaster 1.5 (CT1320B),Creative Technology,DSP v2.x — High-speed DMA,unknown
opl2:0201,Sound Blaster 2.0 (CT1350),Creative Technology,DSP v2.01 — Auto-init DMA,unknown
opl3:0300,Sound Blaster Pro (CT1330),Creative Technology,DSP v3.xx — Stereo 8-bit + OPL2x2,unknown
opl3:0302,Sound Blaster Pro 2 (CT1600),Creative Technology,DSP v3.02 — Single OPL3,unknown
opl3:0400,Sound Blaster 16 (CT1740),Creative Technology,DSP v4.00 — 16-bit stereo,unknown
opl3:0404,Sound Blaster 16 (CT2230),Creative Technology,DSP v4.04,CT1745
opl3:0405,Sound Blaster 16 (CT2290),Creative Technology,DSP v4.05 — Value edition,CT1745
opl3:040B,Sound Blaster 16 Vibra (CT2800),Creative Technology,DSP v4.11 — Vibra 16 early revision,unknown
opl3:040C,Sound Blaster AWE32 (CT2760),Creative Technology,DSP v4.12 — EMU8000 wavetable,unknown
opl3:040D:T6,Sound Blaster 16 or Vibra 16S,Creative Technology,DSP v4.13 T6 — CT2230+ SB16 or CT2800/2900 Vibra 16,CT1745
opl3:040D:T8,Sound Blaster AWE32,Creative Technology,DSP v4.13 T8 — EMU8000-equipped AWE32,unknown
opl3:040D,Sound Blaster 16/Vibra/AWE32 family,Creative Technology,DSP v4.13 — ambiguous without BLASTER T token,unknown
opl3:0410:T8,Sound Blaster AWE64 (CT4500),Creative Technology,DSP v4.16 — AWE64 with original AWE32 compat flag,unknown
opl3:0410:T9,Sound Blaster AWE64 (CT4500),Creative Technology,DSP v4.16 — AWE64 with AWE64 T9 token,unknown
opl3:0410,Sound Blaster AWE64 family,Creative Technology,DSP v4.16 — AWE64/Gold without T token,unknown
opl3:0411,Sound Blaster AWE64 Gold (CT4540),Creative Technology,DSP v4.17 — AWE64 Gold premium variant,unknown
opl3:none,OPL3-based card (unknown),various,OPL3 detected without recognizable DSP,unknown
opl2:none-adlib,AdLib Gold,AdLib,1992 OPL3 + YMZ263 codec (later product),unknown
gus-classic,Gravis UltraSound (Classic),Advanced Gravis,GF1 synth — not OPL-based,unknown
gus-max,Gravis UltraSound MAX,Advanced Gravis,GF1 + CS4231 codec,unknown
gus-ace,Gravis UltraSound ACE,Advanced Gravis,Audio Compression Engine,unknown
ess-688,ESS AudioDrive ES688,ESS Technology,SB Pro compatible,unknown
ess-1688,ESS AudioDrive ES1688,ESS Technology,SB Pro + OPL3,unknown
ess-1868,ESS AudioDrive ES1868,ESS Technology,Plug and Play,unknown
mpas-16,Pro AudioSpectrum 16,MediaVision,SB-compatible mode + native,unknown
mpu401-mt32,Roland MT-32,Roland,MPU-401 synth — general MIDI on intelligent mode,unknown
mpu401-sc55,Roland SC-55 Sound Canvas,Roland,General MIDI reference,unknown
mpu401-unknown,MPU-401 compatible MIDI device,various,Responds to MPU-401 UART,unknown
